original_title,genres,popularity
Oz: The Great and Powerful,Fantasy|Adventure|Family,46.985445
The Amazing Spider-Man 2,Action|Adventure|Fantasy,89.270217
TRON: Legacy,Adventure|Action|Science Fiction,73.79505
Cars 2,Animation|Family|Adventure|Comedy,49.98659
Green Lantern,Adventure|Action|Thriller|Science Fiction,51.872839
Toy Story 3,Animation|Family|Comedy,59.995418
Terminator Salvation,Action|Science Fiction|Thriller,71.862892
Furious 7,Action,102.322217
World War Z,Action|Drama|Horror|Science Fiction|Thriller,81.834855
X-Men: Days of Future Past,Action|Adventure|Fantasy|Science Fiction,118.078691
Star Trek Into Darkness,Action|Adventure|Science Fiction,78.291018
Jack the Giant Slayer,Action|Family|Fantasy,43.349855
The Great Gatsby,Drama|Romance,61.196071
Prince of Persia: The Sands of Time,Adventure|Fantasy|Action|Romance,62.169881
Pacific Rim,Action|Science Fiction|Adventure,56.523205
Transformers: Dark of the Moon,Action|Science Fiction|Adventure,28.529607
Indiana Jones and the Kingdom of the Crystal Skull,Adventure|Action,75.674458
The Good Dinosaur,Adventure|Animation|Family,51.692953
Brave,Animation|Adventure|Comedy|Family|Action|Fantasy,125.114374
Star Trek Beyond,Action|Adventure|Science Fiction,65.352913
WALL·E,Animation|Family,66.390712
Rush Hour 3,Action|Comedy|Crime|Thriller,22.57178
2012,Action|Adventure|Science Fiction,45.274225
A Christmas Carol,Animation|Drama,39.744242
Jupiter Ascending,Science Fiction|Fantasy|Action|Adventure,85.36908
The Legend of Tarzan,Action|Adventure,42.741719
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure|Family|Fantasy,67.391328
X-Men: Apocalypse,Science Fiction,139.272042
The Dark Knight,Drama|Action|Crime|Thriller,187.322927
Up,Animation|Comedy|Family|Adventure,92.201962
Monsters vs Aliens,Animation|Family|Adventure|Science Fiction,36.167578
Iron Man,Action|Science Fiction|Adventure,120.725053
Hugo,Adventure|Drama|Family,32.319043
Wild Wild West,Action|Adventure|Comedy|Science Fiction|Western,40.748915
The Mummy: Tomb of the Dragon Emperor,Adventure|Action|Fantasy,60.034162
Suicide Squad,Action|Adventure|Crime|Fantasy|Science Fiction,90.23792
Evan Almighty,Fantasy|Comedy|Family,27.082182
Edge of Tomorrow,Action|Science Fiction,79.456485
Waterworld,Adventure|Action,44.640292
G.I. Joe: The Rise of Cobra,Adventure|Action|Thriller|Science Fiction,32.852443
Inside Out,Drama|Comedy|Animation|Family,128.655964
The Jungle Book,Family|Adventure|Drama|Fantasy,94.199316
Iron Man 2,Adventure|Action|Science Fiction,77.300194
Snow White and the Huntsman,Adventure|Fantasy|Drama,77.178973
Maleficent,Fantasy|Adventure|Action|Family|Romance,110.620647
Dawn of the Planet of the Apes,Science Fiction|Action|Drama|Thriller,243.791743
The Lovers,Action|Adventure|Science Fiction|Romance,2.418535
47 Ronin,Drama|Action|Adventure|Fantasy,41.796339
Captain America: The Winter Soldier,Action|Adventure|Science Fiction,72.225265
Shrek Forever After,Comedy|Adventure|Fantasy|Animation|Family,44.041186
Tomorrowland,Adventure|Family|Mystery|Science Fiction,130.311355
Big Hero 6,Adventure|Family|Animation|Action|Comedy,203.73459
Wreck-It Ralph,Family|Animation|Comedy|Adventure,62.341073
The Polar Express,Adventure|Animation|Family|Fantasy,47.323228
Independence Day: Resurgence,Action|Adventure|Science Fiction,48.775723
How to Train Your Dragon,Fantasy|Adventure|Animation|Family,67.263269
Terminator 3: Rise of the Machines,Action|Thriller|Science Fiction,69.405188
Guardians of the Galaxy,Action|Science Fiction|Adventure,481.098624
Interstellar,Adventure|Drama|Science Fiction,724.247784
Inception,Action|Thriller|Science Fiction|Mystery|Adventure,167.58371
シン・ゴジラ,Action|Adventure|Drama|Horror|Science Fiction,9.476999
The Hobbit: An Unexpected Journey,Adventure|Fantasy|Action,108.849621
The Fast and the Furious,Action|Crime|Thriller,6.909942
The Curious Case of Benjamin Button,Fantasy|Drama|Thriller|Mystery|Romance,60.269279
X-Men: First Class,Action|Science Fiction|Adventure,3.195174
The Hunger Games: Mockingjay - Part 2,Action|Adventure|Science Fiction,127.284427
The Sorcerer's Apprentice,Fantasy|Adventure|Action|Comedy|Drama,35.580815
Poseidon,Adventure|Action|Drama|Thriller,21.133748
Alice Through the Looking Glass,Fantasy,56.268916
Shrek the Third,Fantasy|Adventure|Animation|Comedy|Family,42.986467
Warcraft,Action|Adventure|Fantasy,63.148529
Terminator Genisys,Science Fiction|Action|Thriller|Adventure,202.042635
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure|Family|Fantasy,49.661984
Pearl Harbor,History|Romance|War,34.20669
Transformers,Adventure|Science Fiction|Action,25.468493
Alexander,War|History|Action|Adventure|Drama|Romance,39.019229
Harry Potter and the Order of the Phoenix,Adventure|Fantasy|Family|Mystery,78.144395
Harry Potter and the Goblet of Fire,Adventure|Fantasy|Family,101.250416
Hancock,Fantasy|Action,56.758411
I Am Legend,Drama|Horror|Action|Thriller|Science Fiction,70.867401
Charlie and the Chocolate Factory,Adventure|Comedy|Family|Fantasy,53.905592
Ratatouille,Animation|Comedy|Family|Fantasy,65.677399
Batman Begins,Action|Crime|Drama,115.040024
Madagascar: Escape 2 Africa,Family|Animation,44.141021
Night at the Museum: Battle of the Smithsonian,Adventure|Fantasy|Action|Comedy|Family,81.781591
X-Men Origins: Wolverine,Adventure|Action|Thriller|Science Fiction,5.954334
The Matrix Revolutions,Adventure|Action|Thriller|Science Fiction,73.313918
Frozen,Animation|Adventure|Family,165.125366
The Matrix Reloaded,Adventure|Action|Thriller|Science Fiction,70.78591
Thor: The Dark World,Action|Adventure|Fantasy,99.499595
Mad Max: Fury Road,Action|Adventure|Science Fiction|Thriller,434.278564
Angels & Demons,Thriller|Mystery,67.447636
Thor,Adventure|Fantasy|Action,86.493424
Bolt,Animation|Family|Adventure|Comedy,41.845878
G-Force,Fantasy|Action|Adventure|Family|Comedy,26.710398
Wrath of the Titans,Adventure,44.927635
Dark Shadows,Comedy|Fantasy,50.306728
Mission: Impossible - Rogue Nation,Action|Adventure|Thriller,114.522237
The Wolfman,Drama|Horror|Thriller,21.214571
Bee Movie,Family|Animation|Adventure|Comedy,29.332905
Kung Fu Panda 2,Animation|Family,51.247321
The Last Airbender,Action|Adventure|Family|Fantasy,33.769336
Mission: Impossible III,Adventure|Action|Thriller,63.079003
White House Down,Action|Drama|Thriller,39.004588
Mars Needs Moms,Adventure|Animation|Family,12.362599
Flushed Away,Adventure|Animation|Comedy|Family,22.550135
Pan,Adventure|Family|Fantasy,48.03528
Mr. Peabody & Sherman,Animation|Adventure|Family,38.73494
Troy,Adventure|Drama|War,66.803149
Madagascar 3: Europe's Most Wanted,Animation|Family,44.989192
Die Another Day,Adventure|Action|Thriller,54.159392
Ghostbusters,Action|Fantasy|Comedy,66.21806
Armageddon,Action|Thriller|Science Fiction|Adventure,58.485967
Men in Black II,Action|Adventure|Comedy|Science Fiction,91.332849
Beowulf,Adventure|Action|Animation,35.601665
Kung Fu Panda 3,Action|Adventure|Animation|Comedy|Family,56.747978
Mission: Impossible - Ghost Protocol,Action|Thriller|Adventure,77.77477
Rise of the Guardians,Fantasy|Animation|Family,61.788035
Fun with Dick and Jane,Comedy,25.159168
The Last Samurai,Drama|Action|War|History,52.341226
Exodus: Gods and Kings,Adventure|Drama|Action,101.599427
Star Trek,Science Fiction|Action|Adventure,73.616808
Spider-Man,Fantasy|Action,82.502566
How to Train Your Dragon 2,Fantasy|Action|Adventure|Animation|Comedy|Family,100.21391
Gods of Egypt,Fantasy,56.257249
Stealth,Action,17.88953
Watchmen,Action|Mystery|Science Fiction,64.798873
Lethal Weapon 4,Action|Adventure|Comedy|Crime|Thriller,24.855701
Hulk,Drama|Action|Science Fiction,34.981698
G.I. Joe: Retaliation,Adventure|Action|Science Fiction|Thriller,59.325589
Sahara,Action|Adventure|Comedy|Drama|Mystery,21.605568
Final Fantasy: The Spirits Within,Adventure|Action|Animation|Fantasy|Science Fiction|Thriller,26.074908
Captain America: The First Avenger,Action|Adventure|Science Fiction,74.506246
The World Is Not Enough,Adventure|Action|Thriller,39.604363
Master and Commander: The Far Side of the World,Adventure,36.973031
The Twilight Saga: Breaking Dawn - Part 2,Adventure|Fantasy|Drama|Romance,99.687084
Happy Feet Two,Animation|Comedy|Family,17.7735
The Incredible Hulk,Science Fiction|Action|Adventure,62.898336
The BFG,Adventure|Family|Fantasy,44.19092
The Revenant,Western|Drama|Adventure|Thriller,100.635882
Turbo,Animation|Family,44.765377
Rango,Animation|Comedy|Family|Western|Adventure,29.91353
Penguins of Madagascar,Family|Animation|Adventure|Comedy,84.366984
The Bourne Ultimatum,Action|Drama|Mystery|Thriller,45.381501
Kung Fu Panda,Adventure|Animation|Family|Comedy,84.689648
Ant-Man,Science Fiction|Action|Adventure,120.09361
The Hunger Games: Catching Fire,Adventure|Action|Science Fiction,76.310119
Home,Fantasy|Comedy|Animation|Science Fiction|Family,63.473086
War of the Worlds,Adventure|Thriller|Science Fiction,48.572726
Bad Boys II,Adventure|Action|Comedy|Thriller|Crime,38.068736
Puss in Boots,Action|Adventure|Animation|Family|Fantasy,20.678787
Salt,Action|Mystery|Thriller,48.829437
Noah,Drama|Adventure,46.115758
The Adventures of Tintin,Adventure|Animation|Mystery,89.938296
Harry Potter and the Prisoner of Azkaban,Adventure|Fantasy|Family,79.679601
Australia,Drama,28.840997
After Earth,Science Fiction|Action|Adventure,42.840582
Dinosaur,Animation|Family,26.548594
Night at the Museum: Secret of the Tomb,Adventure|Comedy|Fantasy|Family,115.597753
Megamind,Animation|Action|Comedy|Family|Science Fiction,68.757242
Harry Potter and the Philosopher's Stone,Adventure|Fantasy|Family,109.984351
R.I.P.D.,Fantasy|Action|Comedy|Crime,39.448066
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure|Fantasy|Action,271.972889
The Hunger Games: Mockingjay - Part 1,Science Fiction|Adventure|Thriller,206.227151
The Da Vinci Code,Thriller|Mystery,45.313197
Rio 2,Animation|Adventure|Comedy|Family,42.40024
X2,Adventure|Action|Science Fiction|Thriller,2.871739
Fast Five,Action|Thriller|Crime,7.255718
Sherlock Holmes: A Game of Shadows,Adventure|Action|Crime|Mystery,81.499621
Clash of the Titans,Adventure|Fantasy|Action,47.686442
Total Recall,Action|Adventure|Science Fiction,43.129703
The 13th Warrior,Adventure|Fantasy|Action,27.220157
The Bourne Legacy,Action|Thriller,90.33681
Batman & Robin,Action|Crime|Fantasy,50.073575
How the Grinch Stole Christmas,Family|Comedy|Fantasy,45.419668
The Day After Tomorrow,Action|Adventure|Science Fiction|Thriller,41.380094
Mission: Impossible II,Adventure|Action|Thriller,54.931334
The Perfect Storm,Drama,25.752118
4: Rise of the Silver Surfer,Adventure|Fantasy|Action|Thriller,60.810723
Life of Pi,Adventure|Drama|Action,51.328145
Ghost Rider,Thriller|Action|Fantasy|Horror,46.834704
Jason Bourne,Action|Thriller,62.641286
Charlie's Angels: Full Throttle,Action|Adventure|Comedy,33.616115
Prometheus,Science Fiction|Adventure|Mystery,68.889395
Stuart Little 2,Family|Adventure|Animation|Comedy,27.990284
Elysium,Science Fiction|Action|Drama|Thriller,67.33767
The Chronicles of Riddick,Action|Science Fiction,27.835436
RoboCop,Action|Science Fiction,66.757869
Speed Racer,Action|Family|Science Fiction,17.060695
How Do You Know,Comedy|Drama|Romance,11.137655
Knight and Day,Action|Comedy,44.906918
Oblivion,Action|Science Fiction|Adventure|Mystery,67.698004
Star Wars: Episode III - Revenge of the Sith,Science Fiction|Adventure|Action,44.108427
Star Wars: Episode II - Attack of the Clones,Adventure|Action|Science Fiction,43.987061
"Monsters, Inc.",Animation|Comedy|Family,106.815545
The Wolverine,Action|Science Fiction|Adventure|Fantasy,15.953444
Star Wars: Episode I - The Phantom Menace,Adventure|Action|Science Fiction,54.035265
The Croods,Adventure|Animation|Comedy|Family|Fantasy,64.183321
Astérix aux Jeux Olympiques,Fantasy|Adventure|Comedy|Family,20.344364
Windtalkers,Drama|Action|History|War,18.714197
The Huntsman: Winter's War,Action|Adventure|Drama,60.467984
Teenage Mutant Ninja Turtles,Science Fiction|Action|Adventure|Fantasy|Comedy,143.350376
Gravity,Science Fiction|Thriller|Drama,110.153618
Dante's Peak,Action|Adventure|Thriller,16.90444
Teenage Mutant Ninja Turtles: Out of the Shadows,Fantasy|Action|Adventure|Comedy,39.873791
Fantastic Four,Action|Adventure|Science Fiction,38.126095
Night at the Museum,Action|Adventure|Comedy|Family|Fantasy,48.780039
San Andreas,Action|Drama|Thriller,100.412364
Tomorrow Never Dies,Adventure|Action|Thriller,42.887121
The Patriot,Drama|History|War|Action,23.657284
Ocean's Twelve,Thriller|Crime,76.840712
Mr. & Mrs. Smith,Action|Comedy|Drama|Thriller,44.635452
Insurgent,Adventure|Science Fiction|Thriller,103.718387
The Aviator,Drama,45.616098
Gulliver's Travels,Comedy,22.845143
The Green Hornet,Action|Crime|Comedy,31.703608
300: Rise of an Empire,Action|War,71.510596
The Smurfs,Animation|Family|Adventure|Comedy|Fantasy,36.65422
Home on the Range,Animation|Family,19.625972
Allegiant,Adventure|Science Fiction,86.105615
Real Steel,Action|Science Fiction|Drama,37.195046
The Smurfs 2,Fantasy|Family|Comedy|Animation,32.473628
Speed 2: Cruise Control,Action|Adventure|Thriller,23.336875
Ender's Game,Science Fiction|Action|Adventure,45.94834
Live Free or Die Hard,Action|Thriller,48.93337
The Lord of the Rings: The Fellowship of the Ring,Adventure|Fantasy|Action,138.049577
Around the World in 80 Days,Action|Adventure|Comedy,22.643776
Ali,Drama,18.866672
The Cat in the Hat,Comedy|Fantasy|Family,18.251129
"I, Robot",Action|Science Fiction,95.914473
Kingdom of Heaven,Drama|Action|Adventure|History|War,44.490453
Stuart Little,Animation|Fantasy|Family|Comedy,30.475297
The Princess and the Frog,Romance|Family|Animation|Music,62.479574
The Martian,Drama|Adventure|Science Fiction,167.93287
The Island,Action|Thriller|Science Fiction|Adventure,37.68056
Town & Country,Comedy|Romance,1.004579
Gone in Sixty Seconds,Action|Crime|Thriller,52.995628
Gladiator,Action|Drama|Adventure,95.301296
Minority Report,Action|Thriller|Science Fiction|Mystery,65.948959
Harry Potter and the Chamber of Secrets,Adventure|Fantasy|Family,132.397737
Casino Royale,Adventure|Action|Thriller,88.935165
Planet of the Apes,Thriller|Science Fiction|Action|Adventure,51.188633
Terminator 2: Judgment Day,Action|Thriller|Science Fiction,101.74155
Public Enemies,History|Crime|Drama,33.691694
American Gangster,Drama|Crime,42.361215
True Lies,Action|Thriller,38.729418
The Taking of Pelham 1 2 3,Thriller|Drama|Crime,40.597856
Little Fockers,Comedy|Romance,32.389353
The Other Guys,Action|Comedy|Crime,24.399642
Eraser,Action|Drama|Mystery|Thriller,24.507987
Django Unchained,Drama|Western,82.121691
The Hunchback of Notre Dame,Drama|Animation|Family,46.727941
The Emperor's New Groove,Adventure|Animation|Comedy|Family|Fantasy,51.113717
The Expendables 2,Action|Adventure|Thriller,53.732892
National Treasure,Adventure|Action|Thriller|Mystery,58.849256
Eragon,Fantasy|Action|Adventure|Family,30.863434
Where the Wild Things Are,Family|Fantasy,31.586215
Epic,Animation|Adventure|Family|Fantasy,36.711378
The Tourist,Action|Thriller|Romance,41.426678
End of Days,Action|Fantasy|Horror|Mystery,20.652943
Blood Diamond,Drama|Thriller|Action,52.792678
The Wolf of Wall Street,Crime|Drama|Comedy,95.007934
Batman Forever,Action|Crime|Fantasy,48.205606
Starship Troopers,Adventure|Action|Thriller|Science Fiction,58.782359
Cloud Atlas,Drama|Science Fiction,73.872343
Legend of the Guardians: The Owls of Ga'Hoole,Animation|Adventure|Family|Fantasy,37.321848
Catwoman,Action|Crime,32.271938
Hercules,Action|Adventure,76.842247
Treasure Planet,Adventure|Animation|Family|Fantasy|Science Fiction,38.924136
Land of the Lost,Adventure|Comedy|Science Fiction,19.38841
The Expendables 3,Action|Adventure|Thriller,61.025639
Point Break,Action|Crime|Thriller,33.507289
Son of the Mask,Fantasy|Comedy|Family|Adventure,17.815595
In the Heart of the Sea,Thriller|Drama|Adventure|Action|History,50.767332
The Adventures of Pluto Nash,Action|Comedy|Science Fiction,12.092241
Green Zone,War|Action|Adventure|Drama|Thriller,30.254021
The Peanuts Movie,Animation,34.308098
The Spanish Prisoner,Crime|Drama|Mystery|Thriller,3.091077
The Mummy Returns,Adventure|Action|Fantasy,41.862983
Gangs of New York,Drama|History|Crime,46.160048
金陵十三釵,Drama|History|War,12.516546
Surf's Up,Animation|Comedy|Family,23.230851
The Stepford Wives,Action|Comedy|Science Fiction,19.224754
Black Hawk Down,Action|History|War,44.455166
The Campaign,Comedy,16.460356
The Fifth Element,Adventure|Fantasy|Action|Thriller|Science Fiction,109.528572
Sex and the City 2,Comedy|Drama|Romance,18.325897
The Road to El Dorado,Adventure|Animation|Comedy|Family,37.054554
Ice Age: Continental Drift,Animation|Comedy|Adventure|Family,65.229868
Cinderella,Romance|Fantasy|Family|Drama,101.187052
The Lovely Bones,Fantasy|Drama,29.257137
Finding Nemo,Animation|Family,85.688789
The Lord of the Rings: The Return of the King,Adventure|Fantasy|Action,123.630332
The Lord of the Rings: The Two Towers,Adventure|Fantasy|Action,106.914973
Seventh Son,Adventure|Fantasy,63.628459
Lara Croft: Tomb Raider,Adventure|Fantasy|Action|Thriller,41.498631
Transcendence,Thriller|Science Fiction|Drama|Mystery,58.991388
Jurassic Park III,Adventure|Action|Thriller|Science Fiction,1.859364
Rise of the Planet of the Apes,Thriller|Action|Drama|Science Fiction,138.433168
The Spiderwick Chronicles,Adventure|Family|Fantasy,21.436682
A Good Day to Die Hard,Action|Thriller,65.402595
The Alamo,Western|History|War,10.660441
The Incredibles,Action|Adventure|Animation|Family,77.817571
Cutthroat Island,Action|Adventure,7.029308
Percy Jackson & the Olympians: The Lightning Thief,Adventure|Fantasy|Family,61.121717
Men in Black,Action|Adventure|Comedy|Science Fiction,104.121555
Toy Story 2,Animation|Comedy|Family,73.575118
Unstoppable,Action|Thriller,37.698465
Rush Hour 2,Action|Comedy|Crime|Thriller,35.814765
What Lies Beneath,Drama|Horror|Mystery|Thriller,15.835672
Cloudy with a Chance of Meatballs,Animation|Comedy|Family,46.781182
Ice Age: Dawn of the Dinosaurs,Animation|Comedy|Family|Adventure,69.457898
The Secret Life of Walter Mitty,Adventure|Comedy|Drama|Fantasy,43.348022
Charlie's Angels,Action|Adventure|Comedy|Crime|Thriller,40.20395
The Departed,Drama|Thriller|Crime,63.429157
Mulan,Animation|Family|Adventure,67.427755
Tropic Thunder,Action|Comedy,43.192048
The Girl with the Dragon Tattoo,Thriller|Crime|Mystery|Drama,47.651083
Die Hard: With a Vengeance,Action|Thriller,51.881077
Sherlock Holmes,Action|Adventure|Crime|Mystery,57.834787
Ben-Hur,Drama,29.608322
Atlantis: The Lost Empire,Animation|Family|Adventure|Science Fiction,51.548589
Alvin and the Chipmunks: The Road Chip,Adventure|Animation|Comedy|Family,27.867368
Valkyrie,Drama|Thriller|History|War,38.832842
You Don't Mess with the Zohan,Comedy|Action,40.597344
Pixels,Action|Comedy|Science Fiction,140.849495
A.I. Artificial Intelligence,Drama|Science Fiction|Adventure,34.035114
The Haunted Mansion,Thriller|Fantasy|Comedy|Family|Mystery,16.302378
Contact,Drama|Science Fiction|Mystery,55.249434
Hollow Man,Action|Science Fiction|Thriller,28.200874
The Interpreter,Crime|Thriller,18.69984
Percy Jackson: Sea of Monsters,Adventure|Family|Fantasy,40.262261
Lara Croft Tomb Raider: The Cradle of Life,Action|Adventure|Fantasy|Thriller,56.811056
Now You See Me 2,Action|Adventure|Comedy|Crime|Mystery|Thriller,51.535701
The Saint,Thriller|Action|Romance|Science Fiction|Adventure,20.913852
Spy Game,Action|Crime|Thriller,27.166757
Mission to Mars,Science Fiction,16.058284
Rio,Animation|Adventure|Comedy|Family,46.200042
Bicentennial Man,Comedy|Science Fiction,24.939295
Volcano,Science Fiction|Action|Drama|Thriller,19.836124
The Devil's Own,Crime|Thriller|Drama,15.350451
K-19: The Widowmaker,Drama|History|Thriller,15.625949
Conan the Barbarian,Adventure|Fantasy|Action,31.802807
Cinderella Man,Romance|Drama|History,24.100863
The Nutcracker: The Untold Story,Fantasy|Action|Family,3.593349
Seabiscuit,Drama|History,14.824166
Twister,Action|Adventure|Drama,32.079995
Cast Away,Adventure|Drama,57.739713
Happy Feet,Animation|Comedy,37.272385
The Bourne Supremacy,Action|Drama|Thriller,53.213931
Air Force One,Action|Thriller,36.38795
Ocean's Eleven,Thriller|Crime,60.929352
The Three Musketeers,Adventure|Action|Thriller,36.605246
Hotel Transylvania,Animation|Comedy|Family|Fantasy,56.257411
Enchanted,Comedy|Family|Fantasy|Romance,29.21998
Safe House,Action|Thriller,34.773106
102 Dalmatians,Comedy|Family,9.895061
Tower Heist,Action|Comedy,36.743324
The Holiday,Comedy|Romance,44.967453
Enemy of the State,Action|Drama|Thriller,41.207568
It's Complicated,Comedy|Romance,16.479851
Ocean's Thirteen,Crime|Thriller,42.069993
Open Season,Adventure|Animation|Family,26.61951
Divergent,Adventure|Action|Science Fiction,80.316463
Enemy at the Gates,War,41.273567
The Rundown,Adventure|Action|Comedy|Thriller,24.107835
Last Action Hero,Adventure|Fantasy|Action|Comedy|Family,32.044191
Memoirs of a Geisha,Drama|History|Romance,16.595874
The Fast and the Furious: Tokyo Drift,Action|Crime|Drama|Thriller,8.282876
Arthur Christmas,Drama|Animation|Family|Comedy,19.83683
Meet Joe Black,Fantasy|Drama|Mystery,36.069611
Collateral Damage,Action|Thriller|Drama,18.827753
All That Jazz,Drama|Music,5.159407
Mirror Mirror,Adventure|Fantasy|Drama|Comedy|Science Fiction|Family,48.126297
Scott Pilgrim vs. the World,Action|Adventure|Comedy,38.885195
The Core,Action|Thriller|Adventure|Science Fiction,29.211255
Nutty Professor II: The Klumps,Fantasy|Comedy|Romance|Science Fiction,17.783361
Scooby-Doo,Mystery|Adventure|Comedy,31.435539
Dredd,Action|Science Fiction,57.673932
Click,Comedy|Drama|Fantasy|Romance,41.176631
Creepshow,Horror|Comedy|Fantasy,13.661289
Cats & Dogs 2 : The Revenge of Kitty Galore,Comedy|Family,11.77398
Jumper,Adventure|Fantasy|Science Fiction,21.218
Hellboy II: The Golden Army,Adventure|Fantasy|Science Fiction,58.57976
Zodiac,Crime|Drama|Mystery|Thriller,51.970905
The 6th Day,Science Fiction,18.447479
Bruce Almighty,Fantasy|Comedy,109.684788
The Expendables,Thriller|Adventure|Action,77.580661
Mission: Impossible,Adventure|Action|Thriller,75.290998
The Hunger Games,Science Fiction|Adventure|Fantasy,68.550698
The Hangover Part II,Comedy,58.040149
Batman Returns,Action|Fantasy,59.113174
Over the Hedge,Comedy|Animation|Family,36.32705
Lilo & Stitch,Animation|Family,55.659988
Charlotte's Web,Comedy|Family|Fantasy,14.132583
Deep Impact,Action|Drama|Romance,34.070054
RED 2,Action|Comedy|Crime|Thriller,44.34333
The Longest Yard,Comedy|Drama,26.065735
Alvin and the Chipmunks: Chipwrecked,Comedy|Fantasy|Family|Music|Animation,23.473004
Grown Ups 2,Comedy,45.589568
Get Smart,Action|Comedy|Thriller,23.496054
Something's Gotta Give,Drama|Comedy|Romance,16.939441
Shutter Island,Drama|Thriller|Mystery,81.914696
Four Christmases,Comedy|Romance|Drama,19.500893
Robots,Animation|Comedy|Family|Science Fiction,29.558157
Face/Off,Action|Crime|Science Fiction|Thriller,46.075037
Bedtime Stories,Fantasy|Comedy|Family|Romance,23.531721
Road to Perdition,Thriller|Crime|Drama,49.078546
Just Go with It,Romance|Comedy,37.02665
Con Air,Action|Thriller|Crime,45.154631
Eagle Eye,Mystery|Thriller|Action,46.887983
Cold Mountain,Drama,24.598479
The Book of Eli,Action|Thriller|Science Fiction,32.363538
Flubber,Comedy|Family|Science Fiction,11.50396
The Haunting,Horror|Thriller|Fantasy|Mystery,19.375768
Space Jam,Animation|Comedy|Drama|Family|Fantasy,36.125715
The Pink Panther,Action|Comedy|Crime|Mystery|Family,25.450534
The Day the Earth Stood Still,Drama|Science Fiction|Thriller,41.890722
Conspiracy Theory,Action|Drama|Mystery|Thriller,22.179658
Fury,War|Drama|Action,139.575085
Six Days Seven Nights,Action|Adventure|Comedy|Romance,18.264635
Yogi Bear,Comedy|Family|Animation|Adventure,11.187696
Spirit: Stallion of the Cimarron,Western|Animation|Adventure|Comedy|Family,41.670544
Zookeeper,Comedy|Romance|Family,27.46264
Lost in Space,Adventure|Family|Science Fiction,17.455024
The Manchurian Candidate,Drama|Thriller|Mystery,21.394281
Déjà Vu,Romance|Drama,0.605645
Hotel Transylvania 2,Animation|Comedy|Family,61.692197
Fantasia 2000,Animation|Family|Music,14.530946
The Time Machine,Science Fiction|Adventure|Action,25.978555
Mighty Joe Young,Action|Adventure|Family|Fantasy,6.643778
Swordfish,Action|Crime|Thriller,36.788745
The Legend of Zorro,Action|Adventure,31.054334
What Dreams May Come,Drama|Fantasy|Romance,21.891078
Little Nicky,Comedy|Fantasy|Romance,18.335992
The Brothers Grimm,Adventure|Fantasy|Action|Comedy|Thriller,40.138009
Mars Attacks!,Comedy|Fantasy|Science Fiction,44.090535
Évolution,Mystery|Drama|Horror,3.300061
The Edge,Action|Adventure|Drama,20.632673
Surrogates,Action|Science Fiction|Thriller,36.664991
Thirteen Days,Drama|Thriller,18.26121
Daylight,Action|Adventure|Thriller,16.681269
Walking With Dinosaurs,Animation|Family|Adventure,10.088006
Battlefield Earth,Action|Science Fiction|War,7.89147
